Year,Measurements
1989,"February 26 - 42 Inches

March 16 - 37.5 Inches

March 21 - 40.5 Inches

March 25 - 41.5 Inches

March 28 - 42 Inches

April 4 - 42 Inches

April 10 - 43 Inches

April 12 - 40 Inches"
1990,"February 25 - 35 Inches

March 9 - 38 Inches

March 19 - 42 Inches

March 23 - 40 Inches

March 26 - 41 Inches

March 30 - 36 Inches"
1991,"February 14 - 28 Inches

February 25 - 28 Inches

March 5 - 36 Inches

March 17 - 33 Inches

March 26 - 35 Inches

April 1 - 38 Inches

April 8 - 42 Inches

April 10 - 39.5 Inches

April 18 - 38 Inches"
1992,"February 24 - 42 Inches

March 1 - 42 Inches

March 10 - 46 Inches

March 14 - 46 Inches

March 24 - 42 Inches

March 27 - 45 Inches

March 30 - 45 Inches

April 1 - 45 Inches

April 3 - 47 Inches

April 11 - 47 Inches

April 13 - 47 Inches

April 15 - 47 Inches

April 18 - 47 Inches

April 22 - 47 Inches"
1993,"Feb 20 - 30 Inches

Feb 26 - 30 Inches

March 6 - 29 Inches

March 24 - 26 Inches

march 31 - 28 Inches

April 1 - 27 Inches

April 2 - 25 inches

April 4 - 26 inches

April 8 - 24 inches

April 9 - 25 inches"
1994,"Jan 20 - 36 Inches

Feb 4 - 43 inches

Feb 17 - 47 inches

Feb 24 - 51 inches

March 3 - 51 inches

March 13 - 52 inches

March 24 - 52 inches

March 28 - 55 inches

march 31 - 58 inches

April 3 - 51 inches

April 8 - 54 inches

April 14 - 57.5 inches

April 18 - 52 Inches

April 22 - 46 Inches"
1995,"Jan 27 - 23 Inches

Feb 8 - 24 inches

Feb 17 - 24.5 Inches

Feb 20 - 25 inches

Feb 28 - 29 Inches

MARCH 6 - 28 INCHES

MARCH 15 - 34 INCHES

MARCH 23 - 32.5 INCHES

MARCH 28 - 34 INCHES

MARCH 31 - 34 INCHES

APRIL 7 - 34 INCHES

APRIL 11 - 33 INCHES

APRIL 13 - 32 INCHES"
1996,"FEB 10 - 41 Inches

FEB 23 - 44 INCHES

FEB 29 - 46 INCHES

MARCH 6 - 46 INCHES

MARCH 12 - 44 INCHES

MARCH 19 - 45 INCHES

MARCH 25 - 46.5 INCHES

MARCH 27 - 45.5 INCHES

APRIL 1 - 46 INCHES

APRIL 4 - 45 INCHES

APRIL 8 - 45 INCHES

APRIL 16 - 45 INCHES

APRIL 19 - 43.7 INCHES

APRIL 22 - 41.5 INCHES"
1997,"Jan 20 - 31 Inches

FEB 4 - 46 INCHES

FEB 19 - 46 INCHES

FEB 25 - 46 INCHES

MARCH 4 - 44 INCHES

MARCH 11 - 44.5 INCHES

MARCH 18 - 44.5 INCHES

APRIL 1 - 43 INCHES

APRIL 4 - 42.5 INCHES"
1998,"Jan 22 - 41 Inches

FEB 5 - 45 INCHES

FEB 18 - 43 INCHES

FEB 25 - 38.5 INCHES

MARCH 4 - 38.5 INCHES

MARCH 8 - 46 INCHES

MARCH 11 - 46.5 INCHES

MARCH 18 - 42.3 INCHES

MARCH 25 - 42 INCHES

MARCH 30 - 34.5 INCHES

APRIL 1 - 34.3 INCHES

APRIL 3 - 38 INCHES"
1999,"Jan 14 - 34 Inches

FEB 12 - 43 INCHES

FEB 17 - 45 INCHES

FEB 24 - 43 INCHES

MARCH 1 - 44 INCHES

MARCH 8 - 44 INCHES

MARCH 11 - 45 INCHES

MARCH 15 - 47 INCHES

MARCH 18 - 46 INCHES

MARCH 22 - 48 INCHES

MARCH 25 - 47 INCHES

MARCH 29 - 43 INCHES

APRIL 1 - 44 INCHES

APRIL 5 - 46 INCHES

APRIL 8 - 47 INCHES

APRIL 12 - 45 INCHES

APRIL 15 - 43 INCHES"
2000,"Jan 23 - 31 Inches

FEB 13 - 31 INCHES

FEB 20 - 33 INCHES

FEB 27 - 33 INCHES

MARCH 5 - 35 INCHES

MARCH 12 - 36 INCHES

MARCH 16 - 35 INCHES

MARCH 19 - 32.6 INCHES

MARCH 23 - 35.6 INCHES

MARCH 30 - 36.7 INCHES

APRIL 2 - 32.7 INCHES

APRIL 4 - 37.7 INCHES

APRIL 9 - 35 INCHES

APRIL 13 - 36 INCHES"
